recruitment_id,employee_id,position_title,apply_date,interview_date,offer_date,hire_date,recruitment_channel,interviewer_comment
REC0103,EMP090,사원,2022-08-28,2022-09-22,2022-10-05,2023-01-12,인턴 전환,팀워크와 커뮤니케이션 능력이 우수함
REC0104,EMP091,차장,2014-09-10,2014-10-11,2014-10-30,2015-01-08,인턴 전환,우수한 역량과 성장 가능성을 보임
REC0105,EMP093,과장,2019-11-05,2019-11-21,2019-12-06,2020-03-20,채용박람회,팀워크와 커뮤니케이션 능력이 우수함
REC0106,EMP094,차장,2016-12-05,2016-12-30,2017-01-07,2017-05-04,대학 채용,직무 전문성이 뛰어나며 조직 적합도가 높음
REC0107,EMP095,사원,2021-05-17,2021-06-17,2021-07-08,2021-07-23,대학 채용,우수한 역량과 성장 가능성을 보임
REC0108,EMP096,주임,2019-07-10,2019-08-10,2019-08-19,2019-11-20,헤드헌팅,경험과 역량이 요구사항에 부합함
REC0109,EMP097,사원,2021-07-09,2021-08-06,2021-08-14,2021-11-12,인턴 전환,우수한 역량과 성장 가능성을 보임
REC0110,EMP099,대리,2020-11-19,2020-12-17,2021-01-05,2021-03-24,채용공고,기대 이상의 실력과 태도를 보임
REC0111,EMP100,사원,2023-05-31,2023-06-30,2023-07-13,2023-08-15,채용박람회,팀워크와 커뮤니케이션 능력이 우수함
REC0112,EMP101,과장,2017-12-04,2018-01-04,2018-01-18,2018-02-09,인턴 전환,경험과 역량이 요구사항에 부합함
REC0113,EMP102,주임,2021-03-31,2021-04-26,2021-05-07,2021-06-01,경력 스카우트,직무 전문성이 뛰어나며 조직 적합도가 높음
REC0114,EMP103,대리,2020-02-14,2020-03-17,2020-03-25,2020-05-11,채용공고,기대 이상의 실력과 태도를 보임
REC0115,EMP104,사원,2022-12-20,2023-01-05,2023-01-20,2023-04-03,채용공고,직무 전문성이 뛰어나며 조직 적합도가 높음
REC0116,EMP105,차장,2018-08-18,2018-09-02,2018-09-13,2018-12-16,채용박람회,우수한 역량과 성장 가능성을 보임
REC0117,EMP106,부장,2016-02-21,2016-03-26,2016-04-13,2016-05-08,추천,기대 이상의 실력과 태도를 보임
REC0118,EMP107,과장,2020-05-03,2020-05-29,2020-06-12,2020-08-18,경력 스카우트,기대 이상의 실력과 태도를 보임
REC0119,EMP108,주임,2022-01-22,2022-02-07,2022-02-24,2022-05-10,인턴 전환,팀워크와 커뮤니케이션 능력이 우수함
REC0120,EMP109,사원,2023-09-20,2023-10-24,2023-11-13,2023-12-06,추천,직무 전문성이 뛰어나며 조직 적합도가 높음
REC0121,EMP110,사원,2024-06-30,2024-07-31,2024-08-13,2024-09-20,대학 채용,우수한 역량과 성장 가능성을 보임
REC0122,EMP111,주임,2019-01-14,2019-01-28,2019-02-16,2019-04-12,채용공고,경험과 역량이 요구사항에 부합함
REC0123,EMP112,차장,2015-05-14,2015-06-18,2015-07-06,2015-09-10,대학 채용,기대 이상의 실력과 태도를 보임
REC0124,EMP113,부장,2015-06-04,2015-06-30,2015-07-20,2015-10-10,헤드헌팅,우수한 역량과 성장 가능성을 보임
REC0125,EMP114,부장,2015-01-30,2015-02-24,2015-03-05,2015-05-28,경력 스카우트,우수한 역량과 성장 가능성을 보임
REC0126,EMP115,과장,2016-08-08,2016-08-23,2016-09-11,2016-10-21,인턴 전환,기대 이상의 실력과 태도를 보임
REC0127,EMP116,과장,2017-10-03,2017-10-17,2017-10-27,2018-02-18,헤드헌팅,직무 전문성이 뛰어나며 조직 적합도가 높음
REC0128,EMP117,주임,2021-06-04,2021-07-07,2021-07-14,2021-08-15,채용박람회,팀워크와 커뮤니케이션 능력이 우수함
REC0129,EMP118,사원,2023-11-15,2023-12-06,2023-12-24,2024-01-20,채용공고,기대 이상의 실력과 태도를 보임
REC0130,EMP119,과장,2018-07-14,2018-08-04,2018-08-19,2018-11-07,헤드헌팅,직무 전문성이 뛰어나며 조직 적합도가 높음
REC0131,EMP120,사원,2022-11-21,2022-12-21,2023-01-01,2023-02-06,헤드헌팅,빠른 학습 능력과 적응력을 갖춤
REC0132,EMP121,사원,2021-12-20,2022-01-13,2022-01-29,2022-05-02,대학 채용,빠른 학습 능력과 적응력을 갖춤
REC0133,EMP123,사원,2023-01-21,2023-02-13,2023-03-06,2023-04-21,헤드헌팅,빠른 학습 능력과 적응력을 갖춤
REC0134,EMP124,차장,2015-09-02,2015-09-23,2015-10-06,2016-01-06,추천,경험과 역량이 요구사항에 부합함
REC0135,EMP125,대리,2022-10-04,2022-11-04,2022-11-20,2022-12-10,인턴 전환,우수한 역량과 성장 가능성을 보임
REC0136,EMP126,대리,2022-03-16,2022-04-20,2022-05-03,2022-08-03,대학 채용,기대 이상의 실력과 태도를 보임
REC0137,EMP127,사원,2024-02-25,2024-03-21,2024-04-07,2024-05-01,인턴 전환,기대 이상의 실력과 태도를 보임
REC0138,EMP128,주임,2019-05-28,2019-06-21,2019-07-09,2019-10-02,채용박람회,기대 이상의 실력과 태도를 보임
REC0139,EMP129,차장,2017-07-27,2017-08-19,2017-09-01,2017-10-14,헤드헌팅,팀워크와 커뮤니케이션 능력이 우수함
REC0140,EMP130,대리,2021-02-11,2021-03-04,2021-03-24,2021-06-11,헤드헌팅,경험과 역량이 요구사항에 부합함
REC0141,EMP131,주임,2021-12-23,2022-01-10,2022-01-29,2022-05-22,채용박람회,직무 전문성이 뛰어나며 조직 적합도가 높음
REC0142,EMP132,주임,2020-01-19,2020-02-19,2020-03-05,2020-05-11,헤드헌팅,기대 이상의 실력과 태도를 보임
REC0143,EMP133,부장,2015-08-29,2015-09-20,2015-09-30,2015-11-28,경력 스카우트,빠른 학습 능력과 적응력을 갖춤
REC0144,EMP134,사원,2024-06-12,2024-07-10,2024-07-30,2024-08-21,추천,직무 전문성이 뛰어나며 조직 적합도가 높음
REC0145,EMP135,사원,2022-11-02,2022-11-22,2022-11-29,2023-03-10,추천,기대 이상의 실력과 태도를 보임
REC0146,EMP136,사원,2023-11-29,2024-01-01,2024-01-17,2024-04-23,채용공고,직무 전문성이 뛰어나며 조직 적합도가 높음
REC0147,EMP137,과장,2016-02-03,2016-03-06,2016-03-24,2016-04-27,인턴 전환,팀워크와 커뮤니케이션 능력이 우수함
REC0148,EMP138,과장,2017-05-28,2017-06-26,2017-07-06,2017-08-23,경력 스카우트,경험과 역량이 요구사항에 부합함
REC0149,EMP139,주임,2022-05-02,2022-05-16,2022-05-26,2022-08-08,헤드헌팅,빠른 학습 능력과 적응력을 갖춤
REC0150,EMP140,사원,2024-07-11,2024-08-09,2024-08-30,2024-09-24,헤드헌팅,빠른 학습 능력과 적응력을 갖춤
REC0151,EMP141,대리,2021-02-09,2021-03-01,2021-03-14,2021-06-26,헤드헌팅,팀워크와 커뮤니케이션 능력이 우수함
REC0152,EMP142,과장,2019-07-10,2019-08-02,2019-08-15,2019-10-19,채용박람회,팀워크와 커뮤니케이션 능력이 우수함
REC0153,EMP143,대리,2022-01-19,2022-02-13,2022-02-24,2022-06-11,추천,경험과 역량이 요구사항에 부합함
REC0154,EMP144,주임,2019-12-20,2020-01-18,2020-02-01,2020-04-23,채용공고,빠른 학습 능력과 적응력을 갖춤
REC0155,EMP145,대리,2020-09-13,2020-10-07,2020-10-28,2021-01-11,헤드헌팅,경험과 역량이 요구사항에 부합함
REC0156,EMP146,대리,2017-04-24,2017-05-21,2017-05-28,2017-08-02,대학 채용,우수한 역량과 성장 가능성을 보임
REC0157,EMP147,주임,2021-12-01,2021-12-15,2021-12-26,2022-02-17,대학 채용,팀워크와 커뮤니케이션 능력이 우수함
REC0158,EMP148,과장,2016-10-05,2016-11-01,2016-11-12,2017-02-16,헤드헌팅,우수한 역량과 성장 가능성을 보임
REC0159,EMP149,과장,2020-08-18,2020-09-08,2020-09-21,2020-11-28,대학 채용,우수한 역량과 성장 가능성을 보임
REC0160,EMP150,대리,2022-05-02,2022-06-02,2022-06-19,2022-09-02,인턴 전환,경험과 역량이 요구사항에 부합함
REC0161,EMP151,과장,2016-04-03,2016-05-02,2016-05-20,2016-07-04,인턴 전환,빠른 학습 능력과 적응력을 갖춤
REC0162,EMP152,과장,2015-02-24,2015-03-24,2015-04-02,2015-06-26,인턴 전환,경험과 역량이 요구사항에 부합함
REC0163,EMP153,차장,2018-06-25,2018-07-13,2018-07-31,2018-09-14,대학 채용,기대 이상의 실력과 태도를 보임
REC0164,EMP154,부장,2016-08-06,2016-09-06,2016-09-23,2016-10-28,헤드헌팅,팀워크와 커뮤니케이션 능력이 우수함
REC0165,EMP155,사원,2024-01-04,2024-01-20,2024-02-09,2024-03-08,인턴 전환,직무 전문성이 뛰어나며 조직 적합도가 높음
REC0166,EMP156,차장,2015-06-11,2015-07-08,2015-07-17,2015-08-10,경력 스카우트,빠른 학습 능력과 적응력을 갖춤
REC0167,EMP157,과장,2019-08-17,2019-09-02,2019-09-20,2019-11-14,헤드헌팅,직무 전문성이 뛰어나며 조직 적합도가 높음
REC0168,EMP158,사원,2021-05-09,2021-06-08,2021-06-22,2021-08-04,추천,직무 전문성이 뛰어나며 조직 적합도가 높음
REC0169,EMP159,과장,2018-09-10,2018-10-14,2018-10-31,2019-01-27,대학 채용,기대 이상의 실력과 태도를 보임
REC0170,EMP160,부장,2015-06-02,2015-07-01,2015-07-08,2015-10-24,헤드헌팅,팀워크와 커뮤니케이션 능력이 우수함
REC0171,EMP161,과장,2018-06-18,2018-07-15,2018-07-22,2018-10-26,채용공고,팀워크와 커뮤니케이션 능력이 우수함
REC0172,EMP162,차장,2017-08-01,2017-09-01,2017-09-12,2017-11-04,채용공고,팀워크와 커뮤니케이션 능력이 우수함
REC0173,EMP163,차장,2015-05-16,2015-06-20,2015-07-03,2015-10-12,경력 스카우트,우수한 역량과 성장 가능성을 보임
REC0174,EMP164,사원,2020-12-24,2021-01-10,2021-01-25,2021-03-07,헤드헌팅,우수한 역량과 성장 가능성을 보임
REC0175,EMP165,대리,2018-11-02,2018-11-24,2018-12-14,2019-03-09,추천,경험과 역량이 요구사항에 부합함
REC0176,EMP166,주임,2019-10-28,2019-11-13,2019-11-25,2020-02-15,채용박람회,기대 이상의 실력과 태도를 보임
REC0177,EMP167,사원,2021-05-03,2021-05-24,2021-06-11,2021-09-12,헤드헌팅,경험과 역량이 요구사항에 부합함
REC0178,EMP168,차장,2016-03-18,2016-04-03,2016-04-20,2016-08-12,경력 스카우트,빠른 학습 능력과 적응력을 갖춤
REC0179,EMP169,차장,2018-05-29,2018-06-14,2018-06-27,2018-08-01,채용박람회,기대 이상의 실력과 태도를 보임
REC0180,EMP170,차장,2018-06-26,2018-07-25,2018-08-01,2018-11-03,인턴 전환,직무 전문성이 뛰어나며 조직 적합도가 높음
REC0181,EMP171,과장,2015-10-05,2015-10-24,2015-11-01,2016-03-02,채용박람회,기대 이상의 실력과 태도를 보임
REC0182,EMP172,과장,2018-04-16,2018-05-10,2018-05-26,2018-09-05,경력 스카우트,직무 전문성이 뛰어나며 조직 적합도가 높음
REC0183,EMP173,대리,2017-03-16,2017-03-31,2017-04-10,2017-07-21,헤드헌팅,빠른 학습 능력과 적응력을 갖춤
REC0184,EMP174,대리,2018-09-13,2018-10-12,2018-10-23,2019-01-23,채용공고,직무 전문성이 뛰어나며 조직 적합도가 높음
REC0185,EMP175,대리,2019-09-28,2019-10-20,2019-11-10,2020-02-22,대학 채용,팀워크와 커뮤니케이션 능력이 우수함
REC0186,EMP176,대리,2018-11-11,2018-11-26,2018-12-05,2019-04-04,경력 스카우트,경험과 역량이 요구사항에 부합함
REC0187,EMP177,사원,2023-11-01,2023-11-21,2023-12-07,2024-01-02,헤드헌팅,빠른 학습 능력과 적응력을 갖춤
REC0188,EMP178,사원,2023-12-15,2023-12-31,2024-01-11,2024-04-03,헤드헌팅,팀워크와 커뮤니케이션 능력이 우수함
REC0189,EMP179,대리,2018-03-27,2018-04-28,2018-05-18,2018-06-25,경력 스카우트,기대 이상의 실력과 태도를 보임
REC0190,EMP180,과장,2016-10-23,2016-11-23,2016-12-05,2017-03-18,채용박람회,빠른 학습 능력과 적응력을 갖춤
REC0191,EMP181,차장,2014-12-14,2014-12-30,2015-01-14,2015-03-01,인턴 전환,경험과 역량이 요구사항에 부합함
REC0192,EMP182,과장,2015-01-02,2015-01-19,2015-02-01,2015-03-09,헤드헌팅,직무 전문성이 뛰어나며 조직 적합도가 높음
REC0193,EMP183,차장,2016-05-04,2016-06-06,2016-06-25,2016-08-15,대학 채용,팀워크와 커뮤니케이션 능력이 우수함
REC0194,EMP184,차장,2018-06-14,2018-07-08,2018-07-15,2018-10-02,인턴 전환,경험과 역량이 요구사항에 부합함
REC0195,EMP185,부장,2014-09-21,2014-10-20,2014-10-30,2015-01-16,경력 스카우트,팀워크와 커뮤니케이션 능력이 우수함
REC0196,EMP186,주임,2021-10-18,2021-11-14,2021-11-23,2022-02-03,인턴 전환,팀워크와 커뮤니케이션 능력이 우수함
REC0197,EMP187,사원,2024-06-28,2024-07-24,2024-08-01,2024-11-19,경력 스카우트,팀워크와 커뮤니케이션 능력이 우수함
REC0198,EMP188,사원,2024-06-05,2024-06-26,2024-07-14,2024-09-10,채용공고,직무 전문성이 뛰어나며 조직 적합도가 높음
REC0199,EMP189,차장,2016-08-19,2016-09-06,2016-09-19,2016-11-21,인턴 전환,빠른 학습 능력과 적응력을 갖춤
REC0200,EMP190,대리,2022-04-26,2022-05-22,2022-06-03,2022-07-14,추천,직무 전문성이 뛰어나며 조직 적합도가 높음
REC0201,EMP191,과장,2019-02-26,2019-03-26,2019-04-07,2019-06-05,경력 스카우트,경험과 역량이 요구사항에 부합함
REC0202,EMP192,과장,2015-12-03,2015-12-21,2015-12-29,2016-02-14,헤드헌팅,기대 이상의 실력과 태도를 보임
REC0203,EMP193,사원,2022-09-10,2022-10-10,2022-10-23,2023-01-19,채용공고,직무 전문성이 뛰어나며 조직 적합도가 높음
REC0204,EMP194,대리,2021-02-18,2021-03-06,2021-03-22,2021-06-28,대학 채용,경험과 역량이 요구사항에 부합함
REC0205,EMP195,차장,2015-01-31,2015-02-14,2015-02-25,2015-05-20,채용박람회,기대 이상의 실력과 태도를 보임
REC0206,EMP196,사원,2022-02-17,2022-03-20,2022-04-10,2022-04-28,헤드헌팅,팀워크와 커뮤니케이션 능력이 우수함
