training_id,employee_id,training_name,category,training_hours,start_date,completion_date,completion_status,assessment_score
TRN0001,EMP000,정보보안,Compliance,8,2017-11-15,2017-11-19,수료,94.1
TRN0002,EMP000,SQL 데이터베이스,Technical,16,2016-01-11,2016-01-19,수료,94.4
TRN0003,EMP000,데이터 분석 실무,Technical,24,2023-02-21,2023-03-05,수료,83.3
TRN0004,EMP000,프로젝트 관리 실무,Management,20,2018-09-15,2018-09-25,수료,93.1
TRN0005,EMP000,효과적인 커뮤니케이션,Soft Skill,8,2017-11-12,2017-11-16,미수료,83.8
TRN0006,DIV001,Python 기초,Technical,16,2021-06-03,2021-06-11,수료,99.8
TRN0007,DIV001,클라우드 컴퓨팅,Technical,24,2017-12-30,2018-01-11,수료,82.4
TRN0008,DIV001,SQL 데이터베이스,Technical,16,2020-10-04,2020-10-12,수료,70.3
TRN0009,DIV001,효과적인 커뮤니케이션,Soft Skill,8,2018-09-30,2018-10-04,수료,72.8
TRN0010,DIV001,Python 심화,Technical,24,2020-07-05,2020-07-17,수료,97.9
TRN0011,DIV002,협업 스킬 향상,Soft Skill,8,2019-06-02,2019-06-06,수료,92.4
TRN0012,DIV002,AI/ML 기초,Technical,32,2018-07-13,2018-07-29,수료,76.0
TRN0013,DIV002,리더십 기본,Leadership,16,2019-02-11,2019-02-19,수료,76.2
TRN0014,DIV002,디자인 씽킹,Soft Skill,16,2018-09-03,2018-09-11,수료,95.1
TRN0015,DIV002,애자일 방법론,Management,16,2020-05-23,2020-05-31,수료,73.2
TRN0016,DIV003,클라우드 컴퓨팅,Technical,24,2024-03-28,2024-04-09,수료,98.7
TRN0017,DIV003,Python 기초,Technical,16,2021-01-28,2021-02-05,수료,79.5
TRN0018,TL001,프로젝트 관리 실무,Management,20,2022-10-14,2022-10-24,수료,87.3
TRN0019,TL001,클라우드 컴퓨팅,Technical,24,2020-11-09,2020-11-21,수료,82.7
TRN0020,TL001,프레젠테이션 스킬,Soft Skill,8,2023-08-03,2023-08-07,수료,80.4
TRN0021,TL001,AI/ML 실무,Technical,40,2021-07-14,2021-08-03,수료,73.6
TRN0022,TL001,개인정보보호,Compliance,4,2023-06-18,2023-06-20,수료,90.7
TRN0023,TL001,효과적인 커뮤니케이션,Soft Skill,8,2020-08-15,2020-08-19,수료,81.4
TRN0024,TL002,협업 스킬 향상,Soft Skill,8,2022-10-20,2022-10-24,수료,75.6
TRN0025,TL002,AI/ML 기초,Technical,32,2018-11-17,2018-12-03,수료,84.1
TRN0026,TL003,협업 스킬 향상,Soft Skill,8,2021-11-08,2021-11-12,수료,81.2
TRN0027,TL003,AI/ML 기초,Technical,32,2021-08-24,2021-09-09,수료,75.4
TRN0028,TL003,프레젠테이션 스킬,Soft Skill,8,2018-08-17,2018-08-21,미수료,90.6
TRN0029,TL003,리더십 심화,Leadership,20,2018-04-11,2018-04-21,수료,94.1
TRN0030,TL003,리더십 기본,Leadership,16,2023-05-20,2023-05-28,수료,81.4
TRN0031,TL003,SQL 데이터베이스,Technical,16,2018-10-16,2018-10-24,수료,92.2
TRN0032,TL004,Python 기초,Technical,16,2023-10-22,2023-10-30,수료,79.5
TRN0033,TL004,프레젠테이션 스킬,Soft Skill,8,2023-06-20,2023-06-24,수료,86.9
TRN0034,TL004,문제해결 기법,Soft Skill,12,2024-05-17,2024-05-23,수료,73.0
TRN0035,TL004,리더십 심화,Leadership,20,2019-11-04,2019-11-14,수료,94.4
TRN0036,TL004,데이터 분석 실무,Technical,24,2023-05-09,2023-05-21,수료,72.9
TRN0037,TL005,협업 스킬 향상,Soft Skill,8,2020-06-14,2020-06-18,수료,73.6
TRN0038,TL005,프로젝트 관리 실무,Management,20,2024-03-19,2024-03-29,미수료,76.0
TRN0039,TL005,AI/ML 기초,Technical,32,2023-01-19,2023-02-04,수료,86.2
TRN0040,TL005,프레젠테이션 스킬,Soft Skill,8,2019-10-14,2019-10-18,수료,90.2
TRN0041,TL005,정보보안,Compliance,8,2022-01-22,2022-01-26,수료,83.4
TRN0042,TL005,문제해결 기법,Soft Skill,12,2017-06-22,2017-06-28,수료,78.6
TRN0043,TL005,효과적인 커뮤니케이션,Soft Skill,8,2023-09-05,2023-09-09,미수료,96.0
TRN0044,TL006,협업 스킬 향상,Soft Skill,8,2019-08-04,2019-08-08,수료,79.5
TRN0045,TL006,문제해결 기법,Soft Skill,12,2019-01-02,2019-01-08,수료,88.2
TRN0046,TL006,AI/ML 실무,Technical,40,2020-03-03,2020-03-23,수료,83.3
TRN0047,TL006,정보보안,Compliance,8,2019-10-23,2019-10-27,수료,85.6
TRN0048,TL006,Python 심화,Technical,24,2020-10-14,2020-10-26,수료,75.5
TRN0049,TL006,디자인 씽킹,Soft Skill,16,2015-12-30,2016-01-07,수료,77.0
TRN0050,TL006,데이터 분석 실무,Technical,24,2018-07-23,2018-08-04,수료,91.0
TRN0051,TL007,리더십 기본,Leadership,16,2019-03-26,2019-04-03,수료,71.9
TRN0052,TL007,프레젠테이션 스킬,Soft Skill,8,2020-02-01,2020-02-05,수료,70.8
TRN0053,TL008,정보보안,Compliance,8,2020-05-19,2020-05-23,수료,97.9
TRN0054,TL008,데이터 분석 실무,Technical,24,2021-09-11,2021-09-23,수료,77.4
TRN0055,TL008,SQL 데이터베이스,Technical,16,2021-02-06,2021-02-14,수료,73.8
TRN0056,TL008,효과적인 커뮤니케이션,Soft Skill,8,2022-06-18,2022-06-22,수료,70.9
TRN0057,TL008,애자일 방법론,Management,16,2023-03-25,2023-04-02,수료,97.5
TRN0058,TL009,클라우드 컴퓨팅,Technical,24,2018-05-11,2018-05-23,수료,83.7
TRN0059,TL009,디자인 씽킹,Soft Skill,16,2023-07-03,2023-07-11,수료,83.0
TRN0060,TL009,프로젝트 관리 실무,Management,20,2023-07-19,2023-07-29,수료,79.3
TRN0061,TL009,개인정보보호,Compliance,4,2020-04-07,2020-04-09,수료,76.8
TRN0062,TL009,리더십 심화,Leadership,20,2017-05-17,2017-05-27,수료,81.0
TRN0063,TL009,데이터 분석 실무,Technical,24,2019-04-15,2019-04-27,수료,70.3
TRN0064,TL009,AI/ML 기초,Technical,32,2022-03-29,2022-04-14,수료,95.4
TRN0065,TL009,정보보안,Compliance,8,2020-03-24,2020-03-28,수료,86.1
TRN0066,TL010,클라우드 컴퓨팅,Technical,24,2022-04-02,2022-04-14,수료,70.2
TRN0067,TL010,개인정보보호,Compliance,4,2019-09-30,2019-10-02,수료,96.5
TRN0068,TL010,애자일 방법론,Management,16,2020-06-16,2020-06-24,수료,74.9
TRN0069,TL010,Python 기초,Technical,16,2023-10-28,2023-11-05,수료,94.9
TRN0070,TL010,AI/ML 실무,Technical,40,2018-01-11,2018-01-31,수료,82.7
TRN0071,TL010,리더십 기본,Leadership,16,2018-03-30,2018-04-07,수료,94.0
TRN0072,TL010,효과적인 커뮤니케이션,Soft Skill,8,2022-06-07,2022-06-11,수료,90.5
TRN0073,EMP001,개인정보보호,Compliance,4,2024-07-28,2024-07-30,수료,72.1
TRN0074,EMP001,프로젝트 관리 실무,Management,20,2024-03-08,2024-03-18,수료,89.1
TRN0075,EMP004,프로젝트 관리 실무,Management,20,2021-10-15,2021-10-25,수료,86.0
TRN0076,EMP004,클라우드 컴퓨팅,Technical,24,2021-11-19,2021-12-01,미수료,78.5
TRN0077,EMP004,리더십 기본,Leadership,16,2021-09-18,2021-09-26,수료,91.8
TRN0078,EMP004,프레젠테이션 스킬,Soft Skill,8,2022-01-06,2022-01-10,수료,70.4
TRN0079,EMP004,Python 기초,Technical,16,2021-12-21,2021-12-29,수료,79.3
TRN0080,EMP005,클라우드 컴퓨팅,Technical,24,2024-01-06,2024-01-18,수료,71.0
TRN0081,EMP005,AI/ML 기초,Technical,32,2023-06-24,2023-07-10,수료,98.5
TRN0082,EMP007,AI/ML 실무,Technical,40,2020-09-26,2020-10-16,수료,77.5
TRN0083,EMP007,데이터 분석 실무,Technical,24,2022-11-10,2022-11-22,수료,73.7
TRN0084,EMP007,클라우드 컴퓨팅,Technical,24,2021-05-16,2021-05-28,수료,99.2
TRN0085,EMP007,정보보안,Compliance,8,2021-05-09,2021-05-13,수료,71.0
TRN0086,EMP008,SQL 데이터베이스,Technical,16,2022-03-11,2022-03-19,수료,74.8
TRN0087,EMP008,정보보안,Compliance,8,2020-09-04,2020-09-08,수료,86.5
TRN0088,EMP008,리더십 기본,Leadership,16,2021-02-15,2021-02-23,수료,89.2
TRN0089,EMP008,리더십 심화,Leadership,20,2021-07-21,2021-07-31,수료,71.6
TRN0090,EMP008,클라우드 컴퓨팅,Technical,24,2024-03-06,2024-03-18,수료,73.4
TRN0091,EMP009,문제해결 기법,Soft Skill,12,2018-05-24,2018-05-30,수료,77.3
TRN0092,EMP009,협업 스킬 향상,Soft Skill,8,2017-07-10,2017-07-14,수료,90.7
TRN0093,EMP009,Python 기초,Technical,16,2024-10-08,2024-10-16,수료,81.1
TRN0094,EMP009,데이터 분석 실무,Technical,24,2018-01-20,2018-02-01,수료,85.0
TRN0095,EMP009,AI/ML 실무,Technical,40,2024-09-28,2024-10-18,수료,97.9
TRN0096,EMP009,효과적인 커뮤니케이션,Soft Skill,8,2024-01-23,2024-01-27,수료,80.7
TRN0097,EMP009,애자일 방법론,Management,16,2018-10-11,2018-10-19,수료,93.7
TRN0098,EMP010,클라우드 컴퓨팅,Technical,24,2024-05-20,2024-06-01,수료,89.3
TRN0099,EMP010,리더십 심화,Leadership,20,2022-08-09,2022-08-19,수료,83.2
TRN0100,EMP010,협업 스킬 향상,Soft Skill,8,2022-03-04,2022-03-08,수료,81.3
TRN0101,EMP011,효과적인 커뮤니케이션,Soft Skill,8,2018-11-14,2018-11-18,수료,84.7
TRN0102,EMP011,프로젝트 관리 실무,Management,20,2021-12-02,2021-12-12,수료,80.4
TRN0103,EMP011,Python 심화,Technical,24,2023-10-11,2023-10-23,수료,96.0
TRN0104,EMP011,리더십 심화,Leadership,20,2022-04-12,2022-04-22,수료,86.6
TRN0105,EMP011,AI/ML 기초,Technical,32,2016-05-03,2016-05-19,수료,83.5
TRN0106,EMP011,디자인 씽킹,Soft Skill,16,2018-07-08,2018-07-16,수료,83.6
TRN0107,EMP011,정보보안,Compliance,8,2024-04-07,2024-04-11,수료,81.4
TRN0108,EMP012,Python 기초,Technical,16,2022-08-26,2022-09-03,수료,89.7
TRN0109,EMP012,AI/ML 기초,Technical,32,2023-05-27,2023-06-12,수료,90.5
TRN0110,EMP012,리더십 심화,Leadership,20,2020-10-13,2020-10-23,수료,79.7
TRN0111,EMP013,협업 스킬 향상,Soft Skill,8,2022-08-14,2022-08-18,수료,98.1
TRN0112,EMP013,SQL 데이터베이스,Technical,16,2022-12-06,2022-12-14,수료,76.1
TRN0113,EMP013,정보보안,Compliance,8,2023-10-17,2023-10-21,수료,71.0
TRN0114,EMP013,프로젝트 관리 실무,Management,20,2023-07-09,2023-07-19,수료,85.8
TRN0115,EMP014,프로젝트 관리 실무,Management,20,2022-03-24,2022-04-03,수료,97.6
TRN0116,EMP014,Python 심화,Technical,24,2023-11-13,2023-11-25,수료,96.7
TRN0117,EMP014,AI/ML 기초,Technical,32,2022-04-02,2022-04-18,수료,89.2
TRN0118,EMP014,SQL 데이터베이스,Technical,16,2023-01-15,2023-01-23,수료,98.1
TRN0119,EMP014,애자일 방법론,Management,16,2023-03-12,2023-03-20,수료,93.8
TRN0120,EMP014,클라우드 컴퓨팅,Technical,24,2022-03-11,2022-03-23,수료,78.0
TRN0121,EMP015,데이터 분석 실무,Technical,24,2017-03-12,2017-03-24,수료,98.8
TRN0122,EMP015,애자일 방법론,Management,16,2017-05-29,2017-06-06,수료,76.9
TRN0123,EMP016,리더십 기본,Leadership,16,2024-08-28,2024-09-05,수료,92.5
TRN0124,EMP016,개인정보보호,Compliance,4,2023-03-02,2023-03-04,수료,93.0
TRN0125,EMP016,리더십 심화,Leadership,20,2023-08-14,2023-08-24,수료,83.8
TRN0126,EMP016,애자일 방법론,Management,16,2023-11-13,2023-11-21,수료,73.1
TRN0127,EMP016,협업 스킬 향상,Soft Skill,8,2024-03-22,2024-03-26,수료,82.0
TRN0128,EMP017,프레젠테이션 스킬,Soft Skill,8,2023-10-19,2023-10-23,수료,86.5
TRN0129,EMP017,디자인 씽킹,Soft Skill,16,2023-10-05,2023-10-13,수료,82.4
TRN0130,EMP018,문제해결 기법,Soft Skill,12,2023-06-10,2023-06-16,수료,77.6
TRN0131,EMP018,협업 스킬 향상,Soft Skill,8,2022-11-22,2022-11-26,수료,81.9
TRN0132,EMP018,리더십 심화,Leadership,20,2020-07-19,2020-07-29,미수료,87.9
TRN0133,EMP018,애자일 방법론,Management,16,2023-04-05,2023-04-13,수료,96.7
TRN0134,EMP018,프로젝트 관리 실무,Management,20,2020-05-23,2020-06-02,수료,76.7
TRN0135,EMP018,SQL 데이터베이스,Technical,16,2022-02-13,2022-02-21,수료,94.7
TRN0136,EMP018,리더십 기본,Leadership,16,2021-11-26,2021-12-04,수료,85.3
TRN0137,EMP019,효과적인 커뮤니케이션,Soft Skill,8,2020-10-02,2020-10-06,수료,96.7
TRN0138,EMP019,SQL 데이터베이스,Technical,16,2021-05-18,2021-05-26,수료,94.3
TRN0139,EMP019,Python 심화,Technical,24,2020-06-29,2020-07-11,수료,87.1
TRN0140,EMP019,리더십 심화,Leadership,20,2021-03-13,2021-03-23,수료,91.7
TRN0141,EMP019,프레젠테이션 스킬,Soft Skill,8,2024-06-03,2024-06-07,수료,84.6
TRN0142,EMP019,데이터 분석 실무,Technical,24,2023-11-05,2023-11-17,수료,94.6
TRN0143,EMP020,애자일 방법론,Management,16,2024-03-21,2024-03-29,수료,81.4
TRN0144,EMP020,Python 심화,Technical,24,2024-06-30,2024-07-12,수료,93.1
TRN0145,EMP021,문제해결 기법,Soft Skill,12,2024-01-30,2024-02-05,수료,76.8
TRN0146,EMP021,개인정보보호,Compliance,4,2023-12-05,2023-12-07,수료,89.0
TRN0147,EMP022,애자일 방법론,Management,16,2020-10-29,2020-11-06,수료,86.9
TRN0148,EMP022,정보보안,Compliance,8,2022-06-06,2022-06-10,수료,76.6
TRN0149,EMP023,AI/ML 실무,Technical,40,2024-01-25,2024-02-14,수료,72.7
TRN0150,EMP023,디자인 씽킹,Soft Skill,16,2023-08-11,2023-08-19,수료,81.8
TRN0151,EMP024,협업 스킬 향상,Soft Skill,8,2024-02-05,2024-02-09,수료,71.5
TRN0152,EMP024,데이터 분석 실무,Technical,24,2023-12-28,2024-01-09,수료,82.0
TRN0153,EMP025,효과적인 커뮤니케이션,Soft Skill,8,2024-11-23,2024-11-27,수료,84.6
TRN0154,EMP025,개인정보보호,Compliance,4,2024-06-30,2024-07-02,수료,99.9
TRN0155,EMP026,리더십 심화,Leadership,20,2022-09-08,2022-09-18,수료,87.3
TRN0156,EMP026,개인정보보호,Compliance,4,2021-07-03,2021-07-05,수료,82.7
TRN0157,EMP026,데이터 분석 실무,Technical,24,2022-10-29,2022-11-10,수료,80.3
TRN0158,EMP026,효과적인 커뮤니케이션,Soft Skill,8,2024-07-19,2024-07-23,수료,79.1
TRN0159,EMP026,AI/ML 실무,Technical,40,2022-11-01,2022-11-21,수료,99.7
TRN0160,EMP026,리더십 기본,Leadership,16,2023-05-09,2023-05-17,수료,83.2
TRN0161,EMP027,리더십 심화,Leadership,20,2024-05-02,2024-05-12,수료,98.5
TRN0162,EMP027,리더십 기본,Leadership,16,2017-09-11,2017-09-19,수료,94.6
TRN0163,EMP027,AI/ML 기초,Technical,32,2016-03-12,2016-03-28,수료,94.1
TRN0164,EMP027,데이터 분석 실무,Technical,24,2019-06-18,2019-06-30,수료,70.7
TRN0165,EMP027,AI/ML 실무,Technical,40,2018-05-21,2018-06-10,수료,76.4
TRN0166,EMP027,클라우드 컴퓨팅,Technical,24,2022-03-03,2022-03-15,수료,77.8
TRN0167,EMP027,Python 심화,Technical,24,2021-06-16,2021-06-28,수료,99.8
TRN0168,EMP027,문제해결 기법,Soft Skill,12,2023-11-02,2023-11-08,수료,70.6
TRN0169,EMP028,정보보안,Compliance,8,2017-10-01,2017-10-05,수료,88.5
TRN0170,EMP028,Python 심화,Technical,24,2016-02-04,2016-02-16,수료,98.4
TRN0171,EMP028,프로젝트 관리 실무,Management,20,2016-03-30,2016-04-09,수료,78.1
TRN0172,EMP028,데이터 분석 실무,Technical,24,2022-11-25,2022-12-07,수료,73.2
TRN0173,EMP028,Python 기초,Technical,16,2018-10-12,2018-10-20,수료,89.5
TRN0174,EMP028,효과적인 커뮤니케이션,Soft Skill,8,2018-02-02,2018-02-06,미수료,85.3
TRN0175,EMP029,SQL 데이터베이스,Technical,16,2021-03-01,2021-03-09,수료,99.0
TRN0176,EMP029,협업 스킬 향상,Soft Skill,8,2023-04-07,2023-04-11,수료,70.6
TRN0177,EMP029,클라우드 컴퓨팅,Technical,24,2021-07-04,2021-07-16,수료,79.1
TRN0178,EMP029,문제해결 기법,Soft Skill,12,2022-11-13,2022-11-19,수료,74.7
TRN0179,EMP029,애자일 방법론,Management,16,2022-01-24,2022-02-01,수료,80.7
TRN0180,EMP029,프로젝트 관리 실무,Management,20,2021-10-25,2021-11-04,수료,99.3
TRN0181,EMP029,Python 심화,Technical,24,2022-12-06,2022-12-18,수료,71.9
TRN0182,EMP030,AI/ML 실무,Technical,40,2023-03-09,2023-03-29,수료,81.8
TRN0183,EMP030,Python 기초,Technical,16,2023-02-22,2023-03-02,수료,81.5
TRN0184,EMP030,프로젝트 관리 실무,Management,20,2024-06-23,2024-07-03,수료,90.6
TRN0185,EMP030,SQL 데이터베이스,Technical,16,2023-12-06,2023-12-14,수료,74.6
TRN0186,EMP031,협업 스킬 향상,Soft Skill,8,2023-09-25,2023-09-29,수료,86.2
TRN0187,EMP031,디자인 씽킹,Soft Skill,16,2024-02-23,2024-03-02,수료,74.1
TRN0188,EMP031,효과적인 커뮤니케이션,Soft Skill,8,2023-11-01,2023-11-05,수료,85.7
TRN0189,EMP031,SQL 데이터베이스,Technical,16,2022-04-13,2022-04-21,수료,97.3
TRN0190,EMP032,효과적인 커뮤니케이션,Soft Skill,8,2021-05-20,2021-05-24,수료,96.4
TRN0191,EMP032,프레젠테이션 스킬,Soft Skill,8,2020-07-07,2020-07-11,수료,96.4
TRN0192,EMP032,협업 스킬 향상,Soft Skill,8,2022-09-02,2022-09-06,미수료,79.1
TRN0193,EMP032,Python 심화,Technical,24,2023-12-03,2023-12-15,수료,78.2
TRN0194,EMP032,프로젝트 관리 실무,Management,20,2021-05-27,2021-06-06,수료,75.5
TRN0195,EMP032,문제해결 기법,Soft Skill,12,2023-10-13,2023-10-19,수료,88.2
TRN0196,EMP032,AI/ML 기초,Technical,32,2023-10-14,2023-10-30,수료,77.0
TRN0197,EMP032,디자인 씽킹,Soft Skill,16,2020-06-30,2020-07-08,수료,90.6
TRN0198,EMP033,효과적인 커뮤니케이션,Soft Skill,8,2021-10-22,2021-10-26,수료,81.6
TRN0199,EMP033,정보보안,Compliance,8,2022-12-05,2022-12-09,수료,75.8
TRN0200,EMP033,클라우드 컴퓨팅,Technical,24,2017-12-23,2018-01-04,수료,99.1
TRN0201,EMP033,AI/ML 기초,Technical,32,2020-08-22,2020-09-07,미수료,76.7
TRN0202,EMP033,협업 스킬 향상,Soft Skill,8,2019-11-21,2019-11-25,수료,72.0
TRN0203,EMP034,클라우드 컴퓨팅,Technical,24,2023-12-23,2024-01-04,수료,82.8
TRN0204,EMP034,협업 스킬 향상,Soft Skill,8,2023-05-24,2023-05-28,수료,94.7
TRN0205,EMP035,협업 스킬 향상,Soft Skill,8,2018-12-02,2018-12-06,수료,77.4
TRN0206,EMP035,AI/ML 실무,Technical,40,2022-11-18,2022-12-08,미수료,71.2
TRN0207,EMP035,Python 심화,Technical,24,2022-10-15,2022-10-27,수료,88.9
TRN0208,EMP035,프로젝트 관리 실무,Management,20,2018-12-30,2019-01-09,수료,83.2
TRN0209,EMP035,클라우드 컴퓨팅,Technical,24,2021-11-10,2021-11-22,수료,78.6
TRN0210,EMP035,리더십 심화,Leadership,20,2020-04-23,2020-05-03,수료,88.4
TRN0211,EMP035,정보보안,Compliance,8,2019-01-21,2019-01-25,수료,97.1
TRN0212,EMP036,디자인 씽킹,Soft Skill,16,2024-04-22,2024-04-30,수료,90.9
TRN0213,EMP036,데이터 분석 실무,Technical,24,2019-04-06,2019-04-18,수료,79.7
TRN0214,EMP036,SQL 데이터베이스,Technical,16,2018-01-09,2018-01-17,수료,87.7
TRN0215,EMP036,정보보안,Compliance,8,2020-01-04,2020-01-08,수료,72.7
TRN0216,EMP036,AI/ML 실무,Technical,40,2021-05-18,2021-06-07,수료,97.2
TRN0217,EMP037,프레젠테이션 스킬,Soft Skill,8,2024-04-07,2024-04-11,수료,83.5
TRN0218,EMP037,SQL 데이터베이스,Technical,16,2024-08-24,2024-09-01,수료,91.2
TRN0219,EMP038,정보보안,Compliance,8,2019-10-25,2019-10-29,수료,89.8
TRN0220,EMP038,프레젠테이션 스킬,Soft Skill,8,2017-09-27,2017-10-01,수료,74.3
TRN0221,EMP038,AI/ML 실무,Technical,40,2024-09-06,2024-09-26,수료,82.6
TRN0222,EMP038,프로젝트 관리 실무,Management,20,2019-07-12,2019-07-22,수료,98.8
TRN0223,EMP038,리더십 기본,Leadership,16,2019-04-18,2019-04-26,수료,73.5
TRN0224,EMP038,Python 기초,Technical,16,2017-07-13,2017-07-21,미수료,70.1
TRN0225,EMP038,데이터 분석 실무,Technical,24,2024-08-22,2024-09-03,수료,83.8
TRN0226,EMP039,클라우드 컴퓨팅,Technical,24,2023-08-06,2023-08-18,수료,84.3
TRN0227,EMP039,Python 기초,Technical,16,2024-02-19,2024-02-27,수료,88.0
TRN0228,EMP039,개인정보보호,Compliance,4,2023-01-02,2023-01-04,수료,86.4
TRN0229,EMP039,SQL 데이터베이스,Technical,16,2024-09-21,2024-09-29,수료,94.6
TRN0230,EMP040,Python 심화,Technical,24,2017-08-14,2017-08-26,수료,71.1
TRN0231,EMP040,프레젠테이션 스킬,Soft Skill,8,2017-05-13,2017-05-17,수료,95.1
TRN0232,EMP040,효과적인 커뮤니케이션,Soft Skill,8,2020-05-07,2020-05-11,수료,72.6
TRN0233,EMP041,문제해결 기법,Soft Skill,12,2017-10-22,2017-10-28,수료,88.3
TRN0234,EMP041,프레젠테이션 스킬,Soft Skill,8,2023-10-03,2023-10-07,수료,87.2
TRN0235,EMP042,프레젠테이션 스킬,Soft Skill,8,2022-06-30,2022-07-04,수료,96.9
TRN0236,EMP042,디자인 씽킹,Soft Skill,16,2019-11-25,2019-12-03,수료,95.3
TRN0237,EMP042,AI/ML 기초,Technical,32,2019-11-13,2019-11-29,수료,74.0
TRN0238,EMP042,정보보안,Compliance,8,2022-03-21,2022-03-25,수료,82.4
TRN0239,EMP042,Python 기초,Technical,16,2021-06-29,2021-07-07,수료,88.4
TRN0240,EMP042,Python 심화,Technical,24,2020-05-13,2020-05-25,수료,99.4
TRN0241,EMP043,데이터 분석 실무,Technical,24,2021-04-23,2021-05-05,수료,99.9
TRN0242,EMP043,클라우드 컴퓨팅,Technical,24,2021-11-02,2021-11-14,수료,88.4
TRN0243,EMP043,애자일 방법론,Management,16,2022-08-21,2022-08-29,수료,89.0
TRN0244,EMP043,리더십 기본,Leadership,16,2022-08-13,2022-08-21,수료,96.5
TRN0245,EMP043,정보보안,Compliance,8,2021-02-27,2021-03-03,수료,99.4
TRN0246,EMP043,프레젠테이션 스킬,Soft Skill,8,2019-11-12,2019-11-16,수료,83.9
TRN0247,EMP045,SQL 데이터베이스,Technical,16,2024-03-01,2024-03-09,수료,89.2
TRN0248,EMP045,리더십 기본,Leadership,16,2022-03-03,2022-03-11,수료,72.0
TRN0249,EMP045,문제해결 기법,Soft Skill,12,2022-04-10,2022-04-16,수료,79.7
TRN0250,EMP045,정보보안,Compliance,8,2020-08-16,2020-08-20,수료,80.0
TRN0251,EMP045,Python 기초,Technical,16,2022-10-24,2022-11-01,수료,88.5
TRN0252,EMP045,프레젠테이션 스킬,Soft Skill,8,2020-10-02,2020-10-06,수료,75.8
TRN0253,EMP045,AI/ML 실무,Technical,40,2022-06-27,2022-07-17,수료,84.4
TRN0254,EMP045,프로젝트 관리 실무,Management,20,2023-04-02,2023-04-12,수료,89.4
TRN0255,EMP046,효과적인 커뮤니케이션,Soft Skill,8,2024-01-21,2024-01-25,수료,83.9
TRN0256,EMP046,디자인 씽킹,Soft Skill,16,2023-11-19,2023-11-27,수료,71.7
TRN0257,EMP047,애자일 방법론,Management,16,2020-02-25,2020-03-04,수료,96.6
TRN0258,EMP047,협업 스킬 향상,Soft Skill,8,2020-05-25,2020-05-29,수료,74.5
TRN0259,EMP047,Python 기초,Technical,16,2016-10-12,2016-10-20,수료,81.3
TRN0260,EMP047,SQL 데이터베이스,Technical,16,2022-06-04,2022-06-12,수료,87.1
TRN0261,EMP047,개인정보보호,Compliance,4,2020-10-19,2020-10-21,수료,73.5
TRN0262,EMP047,정보보안,Compliance,8,2019-11-21,2019-11-25,수료,79.4
TRN0263,EMP049,문제해결 기법,Soft Skill,12,2020-08-01,2020-08-07,수료,94.9
TRN0264,EMP049,데이터 분석 실무,Technical,24,2020-12-12,2020-12-24,수료,79.1
TRN0265,EMP049,클라우드 컴퓨팅,Technical,24,2019-11-18,2019-11-30,수료,71.1
