review_id,employee_id,review_period,final_grade,manager_comment_development
REV0001,EMP000,2022 H1,S,기대를 크게 상회하는 성과. 회사 평판 제고. 회사의 미래를 책임질 핵심 인재.
REV0002,EMP000,2022 H2,A,반기 목표 117% 달성. 기대에 부응하는 기여. 승진 후보 검토.
REV0003,EMP000,2023 H1,C,목표 달성률 70%. 우선순위 오류 파악. 집중 육성 시급.
REV0004,EMP000,2023 H2,B,기대치 수준. 적극성 제고 필요.
REV0005,EMP000,2024 H1,B,평균적 성과. 성장 정체 우려. 멘토 배정 지원.
REV0006,DIV001,2022 H1,A,반기 목표 120% 달성. 기대에 부응하는 기여. 전문가 트랙 육성.
REV0007,DIV001,2022 H2,C,기대 이하 성과. 3개월 내 역량 향상 없으면 추가 조치.
REV0008,DIV001,2023 H1,B,평균적 성과. 수동적 업무 태도. 1:1 코칭 지원.
REV0009,DIV001,2023 H2,D,심각한 수준의 저성과. 적합성 검토 필요. 전문가 코칭.
REV0010,DIV001,2024 H1,A,우수한 성과. 혁신 역량 개발 시 S등급 도약 가능. 해외 연수 검토.
REV0011,DIV002,2022 H1,B,기본 목표 달성. 무난한 업무 처리. 주도성 강화 필요.
REV0012,DIV002,2022 H2,B,안정적이나 도전 부족. 더 높은 목표 설정 권장 필요.
REV0013,DIV002,2023 H1,B,기본 목표 달성. 일부 지연 발생. 주도성 강화 필요.
REV0014,DIV002,2023 H2,B,평균적 성과. 성장 정체 우려. 1:1 코칭 지원.
REV0015,DIV002,2024 H1,S,반기 목표 132% 달성으로 탁월한 성과. 기술적 난제 해결로 회사 발전 기여. 리더 역할 부여 검토.
REV0016,DIV003,2022 H1,D,심각한 수준의 저성과. 즉시 개선 조치 필요. PIP 즉시 적용.
REV0017,DIV003,2022 H2,D,심각한 수준의 저성과. 역량 재평가 필요. PIP 즉시 적용.
REV0018,DIV003,2023 H1,C,목표 달성률 74%. 역량 부족 파악. 업무 재배치 시급.
REV0019,DIV003,2023 H2,A,우수한 성과. 혁신 역량 개발 시 S등급 도약 가능. 교육 투자 예정.
REV0020,DIV003,2024 H1,A,우수한 성과. 리더십 역량 개발 시 S등급 도약 가능. 해외 연수 검토.
REV0021,TL001,2022 H1,A,반기 목표 113% 달성. 팀 목표 달성에 기여. 도전적 과제 부여.
REV0022,TL001,2022 H2,B,평균적 성과. 프로세스 개선 기여도 낮음. 1:1 코칭 지원.
REV0023,TL001,2023 H1,C,개선 미흡. 3개월 내 구체적 발전 없으면 재배치 검토.
REV0024,TL001,2023 H2,B,평균적 성과. 프로세스 개선 기여도 낮음. 멘토 배정 지원.
REV0025,TL001,2024 H1,B,평균적 성과. 프로세스 개선 기여도 낮음. 멘토 배정 지원.
REV0026,TL002,2022 H1,A,반기 목표 112% 달성. 전문성을 바탕으로 한 성과. 리더십 기회 제공 검토.
REV0027,TL002,2022 H2,A,우수한 성과. 글로벌 마인드 개발 시 S등급 도약 가능. 경력 개발 계획 수립.
REV0028,TL002,2023 H1,C,목표 달성률 72%. 태도 문제 파악. PIP 수립 시급.
REV0029,TL002,2023 H2,A,우수한 성과. 혁신 역량 개발 시 S등급 도약 가능. 교육 투자 예정.
REV0030,TL002,2024 H1,B,평균적 성과. 수동적 업무 태도. 교육 기회 지원.
REV0031,TL003,2022 H1,D,심각한 수준의 저성과. 적합성 검토 필요. PIP 즉시 적용.
REV0032,TL003,2022 H2,D,심각한 수준의 저성과. 역량 재평가 필요. PIP 즉시 적용.
REV0033,TL003,2023 H1,B,평균적 성과. 혁신 시도 미흡. 멘토 배정 지원.
REV0034,TL003,2023 H2,B,평균적 성과. 성장 정체 우려. 개선 계획 지원.
REV0035,TL003,2024 H1,A,반기 목표 120% 달성. 안정적이고 우수한 성과. 전문가 트랙 육성.
REV0036,TL004,2022 H1,A,우수한 성과. 리더십 역량 개발 시 S등급 도약 가능. 멘토링 프로그램.
REV0037,TL004,2022 H2,A,우수한 성과. 리더십 역량 개발 시 S등급 도약 가능. 해외 연수 검토.
REV0038,TL004,2023 H1,B,평범한 수준. 더 높은 목표 설정 권장 필요.
REV0039,TL004,2023 H2,C,개선 미흡. 3개월 내 역량 향상 없으면 진로 상담.
REV0040,TL004,2024 H1,S,뛰어난 리더십으로 조직에 큰 가치 창출. 경쟁사 스카우트 우려.
REV0041,TL005,2022 H1,B,기대치 수준. 적극성 제고 필요.
REV0042,TL005,2022 H2,B,평균적 성과. 프로세스 개선 기여도 낮음. 1:1 코칭 지원.
REV0043,TL005,2023 H1,B,기대치 수준. 더 높은 목표 설정 권장 필요.
REV0044,TL005,2023 H2,A,반기 목표 114% 달성. 팀 목표 달성에 기여. 승진 후보 검토.
REV0045,TL005,2024 H1,C,기대 이하 성과. 3개월 내 구체적 발전 없으면 재배치 검토.
REV0046,TL006,2022 H1,B,기본 목표 달성. 일부 지연 발생. 커뮤니케이션 개선 필요.
REV0047,TL006,2022 H2,A,우수한 성과. 혁신 역량 개발 시 S등급 도약 가능. 교육 투자 예정.
REV0048,TL006,2023 H1,C,목표 달성률 63%. 역량 부족 파악. PIP 수립 시급.
REV0049,TL006,2023 H2,C,반복적 실수. 3개월 내 명확한 개선 없으면 계약 갱신 논의.
REV0050,TL006,2024 H1,B,기대치 수준. 더 높은 목표 설정 권장 필요.
REV0051,TL007,2022 H1,A,반기 목표 119% 달성. 팀 목표 달성에 기여. 전문가 트랙 육성.
REV0052,TL007,2022 H2,B,기본 목표 달성. 평균 수준 성과. 주도성 강화 필요.
REV0053,TL007,2023 H1,C,개선 미흡. 3개월 내 구체적 발전 없으면 진로 상담.
REV0054,TL007,2023 H2,C,목표 달성률 69%. 역량 부족 파악. 업무 재배치 시급.
REV0055,TL007,2024 H1,C,목표 달성률 64%. 역량 부족 파악. 멘토링 강화 시급.
REV0056,TL008,2022 H1,A,우수한 성과. 글로벌 마인드 개발 시 S등급 도약 가능. 교육 투자 예정.
REV0057,TL008,2022 H2,A,우수한 성과. 혁신 역량 개발 시 S등급 도약 가능. 해외 연수 검토.
REV0058,TL008,2023 H1,A,우수한 성과. 혁신 역량 개발 시 S등급 도약 가능. 멘토링 프로그램.
REV0059,TL008,2023 H2,C,반복적 실수. 3개월 내 구체적 발전 없으면 진로 상담.
REV0060,TL008,2024 H1,B,평균적 성과. 성장 정체 우려. 교육 기회 지원.
REV0061,TL009,2022 H1,B,평균적 성과. 수동적 업무 태도. 교육 기회 지원.
REV0062,TL009,2022 H2,B,안정적이나 도전 부족. 더 높은 목표 설정 권장 필요.
REV0063,TL009,2023 H1,D,심각한 수준의 저성과. 역량 재평가 필요. 고용 유지 재검토.
REV0064,TL009,2023 H2,A,책임감과 실행력 우수. 역량 확장 지원.
REV0065,TL009,2024 H1,S,반기 목표 142% 달성으로 탁월한 성과. 기술적 난제 해결로 회사 발전 기여. 리더 역할 부여 검토.
REV0066,TL010,2022 H1,D,심각한 수준의 저성과. 즉시 개선 조치 필요. 고용 유지 재검토.
REV0067,TL010,2022 H2,D,심각한 수준의 저성과. 역량 재평가 필요. 업무 전환.
REV0068,TL010,2023 H1,C,목표 달성률 65%. 협업 어려움 파악. 업무 재배치 시급.
REV0069,TL010,2023 H2,S,반기 목표 156% 달성으로 탁월한 성과. 팀 전체 성과 향상에 기여. 보상 상향 필요.
REV0070,TL010,2024 H1,S,반기 목표 151% 달성으로 탁월한 성과. 혁신적 아이디어로 비즈니스 임팩트. 리더 역할 부여 검토.
REV0071,EMP001,2023 H2,D,심각한 수준의 저성과. 역량 재평가 필요. PIP 즉시 적용.
REV0072,EMP001,2024 H1,B,평균적 성과. 수동적 업무 태도. 개선 계획 지원.
REV0073,EMP002,2024 H1,B,평균적 성과. 프로세스 개선 기여도 낮음. 교육 기회 지원.
REV0074,EMP004,2022 H1,B,기본 목표 달성. 평균 수준 성과. 기술 역량 보완 필요.
REV0075,EMP004,2022 H2,C,반복적 실수. 3개월 내 태도 변화 없으면 진로 상담.
REV0076,EMP004,2023 H1,C,개선 미흡. 3개월 내 역량 향상 없으면 진로 상담.
REV0077,EMP004,2023 H2,C,반복적 실수. 3개월 내 태도 변화 없으면 진로 상담.
REV0078,EMP004,2024 H1,B,기본 목표 달성. 평균 수준 성과. 커뮤니케이션 개선 필요.
REV0079,EMP005,2023 H1,A,책임감과 실행력 우수. 역량 확장 지원.
REV0080,EMP005,2023 H2,C,목표 달성률 65%. 태도 문제 파악. 집중 육성 시급.
REV0081,EMP005,2024 H1,C,목표 이해 부족. 3개월 내 명확한 개선 없으면 추가 조치.
REV0082,EMP006,2024 H1,S,반기 목표 153% 달성으로 탁월한 성과. 핵심 프로젝트를 성공으로 이끔. 승진 적극 추천.
REV0083,EMP007,2022 H1,B,평균적 성과. 혁신 시도 미흡. 1:1 코칭 지원.
REV0084,EMP007,2022 H2,A,반기 목표 110% 달성. 전문성을 바탕으로 한 성과. 도전적 과제 부여.
REV0085,EMP007,2023 H1,B,맡은 일은 하나 확장성 없음. 적극성 제고 필요.
REV0086,EMP007,2023 H2,A,우수한 성과. 글로벌 마인드 개발 시 S등급 도약 가능. 경력 개발 계획 수립.
REV0087,EMP007,2024 H1,C,기대 이하 성과. 3개월 내 구체적 발전 없으면 추가 조치.
REV0088,EMP008,2022 H1,A,책임감과 실행력 우수. 보상 인센티브.
REV0089,EMP008,2022 H2,A,우수한 성과. 전략적 사고 개발 시 S등급 도약 가능. 해외 연수 검토.
REV0090,EMP008,2023 H1,B,맡은 일은 하나 확장성 없음. 적극성 제고 필요.
REV0091,EMP008,2023 H2,A,우수한 성과. 혁신 역량 개발 시 S등급 도약 가능. 교육 투자 예정.
REV0092,EMP008,2024 H1,B,기본 목표 달성. 품질 기준 충족. 커뮤니케이션 개선 필요.
REV0093,EMP009,2022 H1,A,반기 목표 120% 달성. 기대에 부응하는 기여. 전문가 트랙 육성.
REV0094,EMP009,2022 H2,A,우수한 성과. 리더십 역량 개발 시 S등급 도약 가능. 해외 연수 검토.
REV0095,EMP009,2023 H1,A,책임감과 실행력 우수. 역량 확장 지원.
REV0096,EMP009,2023 H2,C,목표 달성률 67%. 협업 어려움 파악. 집중 육성 시급.
REV0097,EMP009,2024 H1,B,기본 목표 달성. 평균 수준 성과. 효율성 제고 필요.
REV0098,EMP010,2022 H1,A,반기 목표 105% 달성. 기대에 부응하는 기여. 전문가 트랙 육성.
REV0099,EMP010,2022 H2,S,exceptional한 전문성으로 조직에 큰 가치 창출. 경쟁사 스카우트 우려.
REV0100,EMP010,2023 H1,A,반기 목표 107% 달성. 전문성을 바탕으로 한 성과. 리더십 기회 제공 검토.
REV0101,EMP010,2023 H2,B,평균적 성과. 혁신 시도 미흡. 교육 기회 지원.
REV0102,EMP010,2024 H1,B,기본 목표 달성. 품질 기준 충족. 커뮤니케이션 개선 필요.
REV0103,EMP011,2022 H1,D,심각한 수준의 저성과. 즉시 개선 조치 필요. 전문가 코칭.
REV0104,EMP011,2022 H2,A,반기 목표 105% 달성. 전문성을 바탕으로 한 성과. 도전적 과제 부여.
REV0105,EMP011,2023 H1,A,반기 목표 120% 달성. 기대에 부응하는 기여. 도전적 과제 부여.
REV0106,EMP011,2023 H2,C,기대 이하 성과. 3개월 내 역량 향상 없으면 재배치 검토.
REV0107,EMP011,2024 H1,A,반기 목표 106% 달성. 전문성을 바탕으로 한 성과. 승진 후보 검토.
REV0108,EMP012,2022 H1,A,반기 목표 112% 달성. 안정적이고 우수한 성과. 승진 후보 검토.
REV0109,EMP012,2022 H2,A,우수한 성과. 전략적 사고 개발 시 S등급 도약 가능. 해외 연수 검토.
REV0110,EMP012,2023 H1,B,평균적 성과. 프로세스 개선 기여도 낮음. 1:1 코칭 지원.
REV0111,EMP012,2023 H2,B,기본 목표 달성. 무난한 업무 처리. 기술 역량 보완 필요.
REV0112,EMP012,2024 H1,C,목표 달성률 60%. 태도 문제 파악. PIP 수립 시급.
REV0113,EMP013,2022 H1,A,우수한 성과. 전략적 사고 개발 시 S등급 도약 가능. 경력 개발 계획 수립.
REV0114,EMP013,2022 H2,B,평균적 성과. 프로세스 개선 기여도 낮음. 멘토 배정 지원.
REV0115,EMP013,2023 H1,A,반기 목표 107% 달성. 안정적이고 우수한 성과. 도전적 과제 부여.
REV0116,EMP013,2023 H2,S,기대를 크게 상회하는 성과. 회사 평판 제고. 회사의 미래를 책임질 핵심 인재.
REV0117,EMP013,2024 H1,A,책임감과 실행력 우수. 지속적 성장 기대.
REV0118,EMP014,2022 H1,A,반기 목표 120% 달성. 기대에 부응하는 기여. 승진 후보 검토.
REV0119,EMP014,2022 H2,C,개선 미흡. 3개월 내 태도 변화 없으면 계약 갱신 논의.
REV0120,EMP014,2023 H1,A,책임감과 실행력 우수. 핵심 프로젝트 투입.
REV0121,EMP014,2023 H2,B,평균적 성과. 프로세스 개선 기여도 낮음. 교육 기회 지원.
REV0122,EMP014,2024 H1,A,반기 목표 108% 달성. 안정적이고 우수한 성과. 리더십 기회 제공 검토.
REV0123,EMP015,2022 H1,B,평범한 수준. 시야 확대 필요.
REV0124,EMP015,2022 H2,A,책임감과 실행력 우수. 보상 인센티브.
REV0125,EMP015,2023 H1,B,평균적 성과. 수동적 업무 태도. 1:1 코칭 지원.
REV0126,EMP015,2023 H2,B,기본 목표 달성. 무난한 업무 처리. 커뮤니케이션 개선 필요.
REV0127,EMP015,2024 H1,A,반기 목표 113% 달성. 전문성을 바탕으로 한 성과. 리더십 기회 제공 검토.
REV0128,EMP016,2022 H1,A,프로젝트 수행 능력 우수. 핵심 프로젝트 투입.
REV0129,EMP016,2022 H2,A,우수한 성과. 혁신 역량 개발 시 S등급 도약 가능. 경력 개발 계획 수립.
REV0130,EMP016,2023 H1,A,우수한 성과. 혁신 역량 개발 시 S등급 도약 가능. 해외 연수 검토.
REV0131,EMP016,2023 H2,B,평범한 수준. 자기주도적 개선 필요.
REV0132,EMP016,2024 H1,A,우수한 성과. 리더십 역량 개발 시 S등급 도약 가능. 멘토링 프로그램.
REV0133,EMP017,2023 H1,A,우수한 성과. 혁신 역량 개발 시 S등급 도약 가능. 해외 연수 검토.
REV0134,EMP017,2023 H2,C,목표 달성률 65%. 우선순위 오류 파악. 멘토링 강화 시급.
REV0135,EMP017,2024 H1,C,기대 이하 성과. 3개월 내 태도 변화 없으면 추가 조치.
REV0136,EMP018,2022 H1,A,우수한 성과. 리더십 역량 개발 시 S등급 도약 가능. 해외 연수 검토.
REV0137,EMP018,2022 H2,A,기술적 전문성 우수. 보상 인센티브.
REV0138,EMP018,2023 H1,B,평균적 성과. 성장 정체 우려. 멘토 배정 지원.
REV0139,EMP018,2023 H2,B,기본 목표 달성. 일부 지연 발생. 효율성 제고 필요.
REV0140,EMP018,2024 H1,B,평균적 성과. 성장 정체 우려. 1:1 코칭 지원.
REV0141,EMP019,2022 H1,C,기대 이하 성과. 3개월 내 명확한 개선 없으면 계약 갱신 논의.
REV0142,EMP019,2022 H2,D,심각한 수준의 저성과. 역량 재평가 필요. 고용 유지 재검토.
REV0143,EMP019,2023 H1,B,평균적 성과. 프로세스 개선 기여도 낮음. 멘토 배정 지원.
REV0144,EMP019,2023 H2,A,우수한 성과. 혁신 역량 개발 시 S등급 도약 가능. 경력 개발 계획 수립.
REV0145,EMP019,2024 H1,B,평범한 수준. 자기주도적 개선 필요.
REV0146,EMP020,2022 H1,B,기대치 수준. 적극성 제고 필요.
REV0147,EMP020,2022 H2,C,목표 달성률 70%. 협업 어려움 파악. 업무 재배치 시급.
REV0148,EMP020,2023 H1,C,목표 달성률 72%. 우선순위 오류 파악. 업무 재배치 시급.
REV0149,EMP020,2023 H2,A,우수한 성과. 전략적 사고 개발 시 S등급 도약 가능. 경력 개발 계획 수립.
REV0150,EMP020,2024 H1,A,우수한 성과. 리더십 역량 개발 시 S등급 도약 가능. 경력 개발 계획 수립.
REV0151,EMP021,2023 H2,B,기본 목표 달성. 평균 수준 성과. 기술 역량 보완 필요.
REV0152,EMP021,2024 H1,A,반기 목표 117% 달성. 팀 목표 달성에 기여. 리더십 기회 제공 검토.
REV0153,EMP022,2022 H1,B,평균적 성과. 프로세스 개선 기여도 낮음. 개선 계획 지원.
REV0154,EMP022,2022 H2,B,안정적이나 도전 부족. 시야 확대 필요.
REV0155,EMP022,2023 H1,C,목표 달성률 66%. 역량 부족 파악. 업무 재배치 시급.
REV0156,EMP022,2023 H2,B,평균적 성과. 수동적 업무 태도. 교육 기회 지원.
REV0157,EMP022,2024 H1,D,심각한 수준의 저성과. 근본 원인 파악 필요. 업무 전환.
REV0158,EMP023,2022 H1,D,심각한 수준의 저성과. 근본 원인 파악 필요. PIP 즉시 적용.
REV0159,EMP023,2022 H2,S,exceptional한 전문성으로 조직에 큰 가치 창출. 경쟁사 스카우트 우려.
REV0160,EMP023,2023 H1,B,평균적 성과. 수동적 업무 태도. 1:1 코칭 지원.
REV0161,EMP023,2023 H2,C,목표 달성률 72%. 우선순위 오류 파악. 업무 재배치 시급.
REV0162,EMP023,2024 H1,S,반기 목표 139% 달성으로 탁월한 성과. 핵심 프로젝트를 성공으로 이끔. 핵심인재로 관리.
REV0163,EMP024,2023 H1,B,기본 목표 달성. 품질 기준 충족. 주도성 강화 필요.
REV0164,EMP024,2023 H2,D,심각한 수준의 저성과. 즉시 개선 조치 필요. 업무 전환.
REV0165,EMP024,2024 H1,D,심각한 수준의 저성과. 역량 재평가 필요. 업무 전환.
REV0166,EMP025,2023 H2,B,안정적이나 도전 부족. 적극성 제고 필요.
REV0167,EMP025,2024 H1,S,반기 목표 142% 달성으로 탁월한 성과. 팀 전체 성과 향상에 기여. 승진 적극 추천.
REV0168,EMP026,2022 H1,C,반복적 실수. 3개월 내 태도 변화 없으면 계약 갱신 논의.
REV0169,EMP026,2022 H2,C,기대 이하 성과. 3개월 내 역량 향상 없으면 진로 상담.
REV0170,EMP026,2023 H1,B,평균적 성과. 혁신 시도 미흡. 교육 기회 지원.
REV0171,EMP026,2023 H2,S,뛰어난 리더십으로 조직에 큰 가치 창출. 보상 패키지 재검토.
REV0172,EMP026,2024 H1,B,평균적 성과. 프로세스 개선 기여도 낮음. 교육 기회 지원.
REV0173,EMP027,2022 H1,B,기본 목표 달성. 평균 수준 성과. 효율성 제고 필요.
REV0174,EMP027,2022 H2,A,협업 및 소통 역량 우수. 핵심 프로젝트 투입.
REV0175,EMP027,2023 H1,C,목표 달성률 64%. 협업 어려움 파악. 집중 육성 시급.
REV0176,EMP027,2023 H2,A,반기 목표 109% 달성. 기대에 부응하는 기여. 승진 후보 검토.
REV0177,EMP027,2024 H1,C,목표 달성률 60%. 협업 어려움 파악. 멘토링 강화 시급.
REV0178,EMP028,2022 H1,B,기본 목표 달성. 일부 지연 발생. 커뮤니케이션 개선 필요.
REV0179,EMP028,2022 H2,C,목표 달성률 65%. 역량 부족 파악. 집중 육성 시급.
REV0180,EMP028,2023 H1,S,창의적 문제 해결으로 조직에 큰 가치 창출. 보상 패키지 재검토.
REV0181,EMP028,2023 H2,C,목표 달성률 60%. 협업 어려움 파악. 업무 재배치 시급.
REV0182,EMP028,2024 H1,B,기본 목표 달성. 평균 수준 성과. 효율성 제고 필요.
REV0183,EMP029,2022 H1,S,반기 목표 131% 달성으로 탁월한 성과. 기술적 난제 해결로 회사 발전 기여. 리더 역할 부여 검토.
REV0184,EMP029,2022 H2,C,목표 달성률 61%. 태도 문제 파악. 집중 육성 시급.
REV0185,EMP029,2023 H1,A,우수한 성과. 글로벌 마인드 개발 시 S등급 도약 가능. 교육 투자 예정.
REV0186,EMP029,2023 H2,S,반기 목표 148% 달성으로 탁월한 성과. 혁신적 아이디어로 비즈니스 임팩트. 리더 역할 부여 검토.
REV0187,EMP029,2024 H1,A,기술적 전문성 우수. 역량 확장 지원.
REV0188,EMP030,2022 H2,S,탁월한 실행력으로 조직에 큰 가치 창출. 경쟁사 스카우트 우려.
REV0189,EMP030,2023 H1,B,맡은 일은 하나 확장성 없음. 자기주도적 개선 필요.
REV0190,EMP030,2023 H2,B,평균적 성과. 프로세스 개선 기여도 낮음. 멘토 배정 지원.
REV0191,EMP030,2024 H1,B,안정적이나 도전 부족. 더 높은 목표 설정 권장 필요.
REV0192,EMP031,2022 H1,B,기본 목표 달성. 평균 수준 성과. 효율성 제고 필요.
REV0193,EMP031,2022 H2,B,기대치 수준. 더 높은 목표 설정 권장 필요.
REV0194,EMP031,2023 H1,C,목표 달성률 72%. 역량 부족 파악. 집중 육성 시급.
REV0195,EMP031,2023 H2,D,심각한 수준의 저성과. 적합성 검토 필요. 고용 유지 재검토.
REV0196,EMP031,2024 H1,B,맡은 일은 하나 확장성 없음. 자기주도적 개선 필요.
REV0197,EMP032,2022 H1,S,기대를 크게 상회하는 성과. 회사 평판 제고. 회사의 미래를 책임질 핵심 인재.
REV0198,EMP032,2022 H2,D,심각한 수준의 저성과. 근본 원인 파악 필요. 업무 전환.
REV0199,EMP032,2023 H1,C,기대 이하 성과. 3개월 내 구체적 발전 없으면 계약 갱신 논의.
REV0200,EMP032,2023 H2,C,반복적 실수. 3개월 내 명확한 개선 없으면 계약 갱신 논의.
REV0201,EMP032,2024 H1,A,반기 목표 109% 달성. 팀 목표 달성에 기여. 리더십 기회 제공 검토.
REV0202,EMP033,2022 H1,B,기대치 수준. 자기주도적 개선 필요.
REV0203,EMP033,2022 H2,B,기본 목표 달성. 평균 수준 성과. 기술 역량 보완 필요.
REV0204,EMP033,2023 H1,C,목표 달성률 73%. 태도 문제 파악. 집중 육성 시급.
REV0205,EMP033,2023 H2,C,목표 달성률 66%. 역량 부족 파악. 멘토링 강화 시급.
REV0206,EMP033,2024 H1,C,목표 달성률 62%. 우선순위 오류 파악. PIP 수립 시급.
REV0207,EMP034,2023 H1,A,우수한 성과. 리더십 역량 개발 시 S등급 도약 가능. 멘토링 프로그램.
REV0208,EMP034,2023 H2,A,우수한 성과. 글로벌 마인드 개발 시 S등급 도약 가능. 경력 개발 계획 수립.
REV0209,EMP034,2024 H1,C,목표 이해 부족. 3개월 내 역량 향상 없으면 추가 조치.
