exit_interview_id,employee_id,interview_date,exit_date,tenure_years,primary_reason_category,primary_reason_detail,secondary_reason,would_recommend_company,overall_satisfaction,qualitative_feedback,improvement_suggestion,rehire_eligible
EXIT0001,EMP003,2024-12-30,2024-12-31,4.7,성장 정체,경력 개발 기회 부족,커뮤니케이션 문제,3.6,3.6,기술적 환경은 좋으나 경력 개발 기회 부족과(와) 커뮤니케이션 문제 때문에 장기적으로 함께하기 힘들다고 판단했습니다. 조직 문화 혁신이 시급하다고 생각합니다.,"교육 예산 확대, 외부 컨퍼런스 참여 지원, 사내 스터디 활성화",Yes
EXIT0002,EMP044,2025-03-24,2025-03-29,6.6,상사/관계,조직 문화 부적응,과도한 야근,1.7,3.0,"솔직히 말하면 조직 문화 부적응이(가) 결정적 이유입니다. 팀 내 여러 동료가 같은 문제 제기했으나 퇴사를 결심했습니다. 전문성 개발 환경은(는) 아쉽지만, 정신 건강을 위해 불가피한 선택이었습니다.","리더십 교육 강화, 조직 문화 개선, 갈등 해결 메커니즘 구축",Yes
EXIT0003,EMP054,2025-06-07,2025-06-08,3.6,성장 정체,교육 기회 제한,더 좋은 연봉 제안,3.4,2.2,"솔직히 말하면 교육 기회 제한이(가) 결정적 이유입니다. 팀 내 여러 동료가 같은 문제 제기했으나 퇴사를 결심했습니다. 전문성 개발 환경은(는) 아쉽지만, 정신 건강을 위해 불가피한 선택이었습니다.","교육 예산 확대, 외부 컨퍼런스 참여 지원, 사내 스터디 활성화",No
EXIT0004,EMP082,2023-11-05,2023-11-07,2.3,워라밸,유연근무 불가,승진 누락,1.7,2.9,"시간이 지나면서 유연근무 불가 문제가 심화되었습니다. 체계적인 온보딩은(는) 좋았지만, 승진 누락까지 겹치면서 더 나은 환경을 찾아 떠나기로 결정했습니다.","유연근무제 확대, 불필요한 야근 문화 개선, 휴가 사용 장려",Yes
EXIT0005,EMP092,2025-01-09,2025-01-16,2.2,성장 정체,경력 개발 기회 부족,휴가 사용 제한,3.5,3.7,"시간이 지나면서 경력 개발 기회 부족 문제가 심화되었습니다. 우수한 기술 스택은(는) 좋았지만, 휴가 사용 제한까지 겹치면서 미래를 위해 떠나기로 결정했습니다.","교육 예산 확대, 외부 컨퍼런스 참여 지원, 사내 스터디 활성화",Yes
EXIT0006,EMP093,2023-01-12,2023-01-15,2.8,성장 정체,역량 활용 불가,과도한 업무량,2.8,3.7,"솔직히 말하면 역량 활용 불가이(가) 결정적 이유입니다. 상황이 점점 악화되면서 퇴사를 결심했습니다. 좋은 학습 기회은(는) 아쉽지만, 개인 성장을 위해 불가피한 선택이었습니다.","교육 예산 확대, 외부 컨퍼런스 참여 지원, 사내 스터디 활성화",Yes
EXIT0007,EMP098,2025-01-27,2025-01-29,3.5,더 나은 기회,커리어 성장 기회,조직 문화 부적응,3.9,4.4,재직 기간 동안 전문성 개발 환경에는 감사했습니다. 그러나 상사와 논의했으나 해결 안 됨하여 최종적으로 퇴사를 결정했습니다. 특히 커리어 성장 기회은(는) 반드시 개선되어야 할 부분입니다.,"경력 개발 경로 명확화, 내부 이동 기회 확대",Yes
EXIT0008,EMP099,2022-12-01,2022-12-03,1.7,업무 불만,비효율적인 프로세스,기술 발전 기회 없음,3.5,4.2,"솔직히 말하면 비효율적인 프로세스이(가) 결정적 이유입니다. 팀 내 여러 동료가 같은 문제 제기했으나 퇴사를 결심했습니다. 훌륭한 동료들은(는) 아쉽지만, 커리어 발전을 위해 불가피한 선택이었습니다.","업무 프로세스 개선, 불필요한 업무 제거",Yes
EXIT0009,EMP118,2025-05-01,2025-05-08,1.3,더 나은 기회,커리어 성장 기회,과도한 업무량,3.7,3.2,"솔직히 말하면 커리어 성장 기회이(가) 결정적 이유입니다. 더 이상 참기 어려운 수준이 되어 퇴사를 결심했습니다. 자유로운 기술 선택은(는) 아쉽지만, 정신 건강을 위해 불가피한 선택이었습니다.","경력 개발 경로 명확화, 내부 이동 기회 확대",No
EXIT0010,EMP122,2024-12-10,2024-12-12,2.8,더 나은 기회,커리어 성장 기회,경력 개발 기회 부족,4.5,3.3,"솔직히 말하면 커리어 성장 기회이(가) 결정적 이유입니다. 수차례 개선을 요청했지만 변화 없었고 퇴사를 결심했습니다. 복리후생은(는) 아쉽지만, 정신 건강을 위해 불가피한 선택이었습니다.","경력 개발 경로 명확화, 내부 이동 기회 확대",No
EXIT0011,EMP132,2025-08-31,2025-09-04,5.3,성장 정체,역량 활용 불가,상사와의 갈등,2.9,2.3,"솔직히 말하면 역량 활용 불가이(가) 결정적 이유입니다. 팀 내 여러 동료가 같은 문제 제기했으나 퇴사를 결심했습니다. 좋은 학습 기회은(는) 아쉽지만, 정신 건강을 위해 불가피한 선택이었습니다.","교육 예산 확대, 외부 컨퍼런스 참여 지원, 사내 스터디 활성화",Yes
EXIT0012,EMP165,2024-09-06,2024-09-11,5.5,보상 불만,승진 누락,과도한 야근,3.6,3.8,기술적 환경은 좋으나 승진 누락과(와) 과도한 야근 때문에 더 이상 성장하기 어렵다고 판단했습니다. 후배들을 위해서라도 이 부분은 개선되길 생각합니다.,"시장 경쟁력 있는 보상 체계 수립, 투명한 보상 정책",No
EXIT0013,EMP191,2025-05-30,2025-06-03,6.0,업무 불만,업무 내용 불만족,상사와의 갈등,2.6,3.0,"입사 당시 약속과 달리 업무 내용 불만족 문제가 심화되었습니다. 멘토의 헌신적 지원은(는) 좋았지만, 상사와의 갈등까지 겹치면서 미래를 위해 떠나기로 결정했습니다.","업무 프로세스 개선, 불필요한 업무 제거",No
EXIT0014,EMP193,2025-06-26,2025-07-01,2.4,워라밸,휴가 사용 제한,더 큰 회사로 이직,1.5,3.8,재직 기간 동안 체계적인 온보딩에는 감사했습니다. 그러나 더 큰 회사로 이직까지 겹치면서 지속 근무 불가 판단하여 최종적으로 퇴사를 결정했습니다. 특히 휴가 사용 제한은(는) 반드시 개선되어야 할 부분입니다.,"유연근무제 확대, 불필요한 야근 문화 개선, 휴가 사용 장려",Yes
EXIT0015,EMP194,2025-08-06,2025-08-08,4.1,보상 불만,승진 누락,과도한 업무량,3.0,3.4,회사의 비전과 제품에는 공감하나 승진 누락과(와) 과도한 업무량 때문에 변화가 필요하다고 판단했습니다. 리더십 교육이 필요하다고 생각합니다.,"시장 경쟁력 있는 보상 체계 수립, 투명한 보상 정책",No
