record_id,employee_id,record_type,category,reason,action_date,monetary_amount,issued_by,description,impact_on_record
RD00001,TL001,포상,우수사원상,월간 우수사원 선정,2023-10-15,500000,DIV001,우수사원상 수상: 월간 우수사원 선정,Positive
RD00002,TL002,포상,팀워크상,팀 협업 우수,2024-08-17,300000,DIV001,팀워크상 수상: 팀 협업 우수,Positive
RD00003,TL002,포상,혁신상,혁신 아이디어 제안 및 실행,2024-04-19,2000000,DIV001,혁신상 수상: 혁신 아이디어 제안 및 실행,Positive
RD00004,TL007,포상,팀워크상,팀 협업 우수,2017-07-24,300000,DIV002,팀워크상 수상: 팀 협업 우수,Positive
RD00005,TL009,포상,우수사원상,월간 우수사원 선정,2020-10-20,500000,DIV003,우수사원상 수상: 월간 우수사원 선정,Positive
RD00006,EMP005,포상,혁신상,혁신 아이디어 제안 및 실행,2023-12-17,2000000,TL001,혁신상 수상: 혁신 아이디어 제안 및 실행,Positive
RD00007,EMP010,포상,팀워크상,팀 협업 우수,2022-11-12,300000,TL001,팀워크상 수상: 팀 협업 우수,Positive
RD00008,EMP010,포상,우수사원상,월간 우수사원 선정,2024-01-12,500000,TL001,우수사원상 수상: 월간 우수사원 선정,Positive
RD00009,EMP015,포상,혁신상,혁신 아이디어 제안 및 실행,2021-07-09,2000000,TL002,혁신상 수상: 혁신 아이디어 제안 및 실행,Positive
RD00010,EMP015,징계,감봉,업무상 과실,2019-01-04,-500000,TL002,감봉 조치: 업무상 과실,Negative
RD00011,EMP018,포상,팀워크상,팀 협업 우수,2023-08-08,300000,TL002,팀워크상 수상: 팀 협업 우수,Positive
RD00012,EMP023,포상,팀워크상,팀 협업 우수,2023-09-05,300000,TL003,팀워크상 수상: 팀 협업 우수,Positive
RD00013,EMP027,포상,우수사원상,월간 우수사원 선정,2018-01-31,500000,TL003,우수사원상 수상: 월간 우수사원 선정,Positive
RD00014,EMP028,포상,우수사원상,월간 우수사원 선정,2016-04-09,500000,TL003,우수사원상 수상: 월간 우수사원 선정,Positive
RD00015,EMP028,포상,우수사원상,월간 우수사원 선정,2022-08-30,500000,TL003,우수사원상 수상: 월간 우수사원 선정,Positive
RD00016,EMP035,포상,고객만족상,고객 만족도 향상 기여,2020-04-25,1500000,TL003,고객만족상 수상: 고객 만족도 향상 기여,Positive
RD00017,EMP035,포상,혁신상,혁신 아이디어 제안 및 실행,2021-12-03,2000000,TL003,혁신상 수상: 혁신 아이디어 제안 및 실행,Positive
RD00018,EMP037,포상,고객만족상,고객 만족도 향상 기여,2024-06-17,1500000,TL003,고객만족상 수상: 고객 만족도 향상 기여,Positive
RD00019,EMP037,포상,팀워크상,팀 협업 우수,2024-06-27,300000,TL003,팀워크상 수상: 팀 협업 우수,Positive
RD00020,EMP037,포상,팀워크상,팀 협업 우수,2024-07-13,300000,TL003,팀워크상 수상: 팀 협업 우수,Positive
RD00021,EMP037,징계,감봉,업무상 과실,2024-09-20,-500000,TL003,감봉 조치: 업무상 과실,Negative
RD00022,EMP039,징계,정직,중대 규정 위반,2024-02-20,0,TL003,정직 조치: 중대 규정 위반,Negative
RD00023,EMP041,포상,혁신상,혁신 아이디어 제안 및 실행,2018-06-11,2000000,TL003,혁신상 수상: 혁신 아이디어 제안 및 실행,Positive
RD00024,EMP042,포상,공로상,프로젝트 성공적 완수,2021-11-09,1000000,TL003,공로상 수상: 프로젝트 성공적 완수,Positive
RD00025,EMP053,포상,우수사원상,월간 우수사원 선정,2016-01-04,500000,TL004,우수사원상 수상: 월간 우수사원 선정,Positive
RD00026,EMP060,포상,혁신상,혁신 아이디어 제안 및 실행,2023-12-04,2000000,TL004,혁신상 수상: 혁신 아이디어 제안 및 실행,Positive
RD00027,EMP061,징계,구두경고,업무 태만,2021-01-02,0,TL004,구두경고 조치: 업무 태만,Negative
RD00028,EMP062,포상,팀워크상,팀 협업 우수,2023-11-02,300000,TL004,팀워크상 수상: 팀 협업 우수,Positive
RD00029,EMP065,포상,혁신상,혁신 아이디어 제안 및 실행,2023-08-29,2000000,TL004,혁신상 수상: 혁신 아이디어 제안 및 실행,Positive
RD00030,EMP069,포상,공로상,프로젝트 성공적 완수,2023-10-19,1000000,TL004,공로상 수상: 프로젝트 성공적 완수,Positive
RD00031,EMP070,포상,우수사원상,월간 우수사원 선정,2022-03-24,500000,TL004,우수사원상 수상: 월간 우수사원 선정,Positive
RD00032,EMP071,포상,혁신상,혁신 아이디어 제안 및 실행,2020-07-19,2000000,TL004,혁신상 수상: 혁신 아이디어 제안 및 실행,Positive
RD00033,EMP073,포상,혁신상,혁신 아이디어 제안 및 실행,2023-03-14,2000000,TL004,혁신상 수상: 혁신 아이디어 제안 및 실행,Positive
RD00034,EMP081,포상,팀워크상,팀 협업 우수,2023-02-12,300000,TL005,팀워크상 수상: 팀 협업 우수,Positive
RD00035,EMP087,포상,공로상,프로젝트 성공적 완수,2018-09-02,1000000,TL005,공로상 수상: 프로젝트 성공적 완수,Positive
RD00036,EMP103,포상,팀워크상,팀 협업 우수,2023-08-29,300000,TL006,팀워크상 수상: 팀 협업 우수,Positive
RD00037,EMP114,징계,구두경고,업무 태만,2023-07-31,0,TL006,구두경고 조치: 업무 태만,Negative
RD00038,EMP117,포상,우수사원상,월간 우수사원 선정,2022-10-14,500000,TL006,우수사원상 수상: 월간 우수사원 선정,Positive
RD00039,EMP121,포상,공로상,프로젝트 성공적 완수,2024-01-01,1000000,TL007,공로상 수상: 프로젝트 성공적 완수,Positive
RD00040,EMP121,포상,고객만족상,고객 만족도 향상 기여,2023-07-04,1500000,TL007,고객만족상 수상: 고객 만족도 향상 기여,Positive
RD00041,EMP121,포상,팀워크상,팀 협업 우수,2023-09-29,300000,TL007,팀워크상 수상: 팀 협업 우수,Positive
RD00042,EMP135,포상,혁신상,혁신 아이디어 제안 및 실행,2024-02-14,2000000,TL007,혁신상 수상: 혁신 아이디어 제안 및 실행,Positive
RD00043,EMP142,포상,우수사원상,월간 우수사원 선정,2021-06-18,500000,TL008,우수사원상 수상: 월간 우수사원 선정,Positive
RD00044,EMP146,징계,정직,중대 규정 위반,2021-11-20,0,TL008,정직 조치: 중대 규정 위반,Negative
RD00045,EMP153,포상,우수사원상,월간 우수사원 선정,2023-01-14,500000,TL009,우수사원상 수상: 월간 우수사원 선정,Positive
RD00046,EMP153,포상,우수사원상,월간 우수사원 선정,2022-08-25,500000,TL009,우수사원상 수상: 월간 우수사원 선정,Positive
RD00047,EMP154,포상,고객만족상,고객 만족도 향상 기여,2019-01-19,1500000,TL009,고객만족상 수상: 고객 만족도 향상 기여,Positive
RD00048,EMP154,징계,구두경고,업무 태만,2018-02-09,0,TL009,구두경고 조치: 업무 태만,Negative
RD00049,EMP156,포상,혁신상,혁신 아이디어 제안 및 실행,2016-08-30,2000000,TL009,혁신상 수상: 혁신 아이디어 제안 및 실행,Positive
RD00050,EMP156,징계,감봉,업무상 과실,2021-01-15,-500000,TL009,감봉 조치: 업무상 과실,Negative
RD00051,EMP158,포상,우수사원상,월간 우수사원 선정,2023-08-28,500000,TL009,우수사원상 수상: 월간 우수사원 선정,Positive
RD00052,EMP158,포상,고객만족상,고객 만족도 향상 기여,2024-05-16,1500000,TL009,고객만족상 수상: 고객 만족도 향상 기여,Positive
RD00053,EMP158,포상,고객만족상,고객 만족도 향상 기여,2022-12-04,1500000,TL009,고객만족상 수상: 고객 만족도 향상 기여,Positive
RD00054,EMP160,포상,우수사원상,월간 우수사원 선정,2017-12-21,500000,TL009,우수사원상 수상: 월간 우수사원 선정,Positive
RD00055,EMP169,포상,혁신상,혁신 아이디어 제안 및 실행,2019-09-20,2000000,TL009,혁신상 수상: 혁신 아이디어 제안 및 실행,Positive
RD00056,EMP170,포상,우수사원상,월간 우수사원 선정,2024-08-09,500000,TL009,우수사원상 수상: 월간 우수사원 선정,Positive
RD00057,EMP171,포상,우수사원상,월간 우수사원 선정,2019-11-24,500000,TL009,우수사원상 수상: 월간 우수사원 선정,Positive
RD00058,EMP173,포상,공로상,프로젝트 성공적 완수,2024-07-05,1000000,TL010,공로상 수상: 프로젝트 성공적 완수,Positive
RD00059,EMP173,징계,감봉,업무상 과실,2019-07-22,-500000,TL010,감봉 조치: 업무상 과실,Negative
RD00060,EMP179,포상,공로상,프로젝트 성공적 완수,2020-05-17,1000000,TL010,공로상 수상: 프로젝트 성공적 완수,Positive
RD00061,EMP180,포상,고객만족상,고객 만족도 향상 기여,2022-09-03,1500000,TL010,고객만족상 수상: 고객 만족도 향상 기여,Positive
RD00062,EMP180,포상,고객만족상,고객 만족도 향상 기여,2021-04-22,1500000,TL010,고객만족상 수상: 고객 만족도 향상 기여,Positive
RD00063,EMP183,포상,혁신상,혁신 아이디어 제안 및 실행,2021-08-25,2000000,TL010,혁신상 수상: 혁신 아이디어 제안 및 실행,Positive
RD00064,EMP184,포상,공로상,프로젝트 성공적 완수,2024-05-08,1000000,TL010,공로상 수상: 프로젝트 성공적 완수,Positive
RD00065,EMP184,징계,구두경고,업무 태만,2019-05-15,0,TL010,구두경고 조치: 업무 태만,Negative
RD00066,EMP189,포상,고객만족상,고객 만족도 향상 기여,2021-05-28,1500000,TL010,고객만족상 수상: 고객 만족도 향상 기여,Positive
RD00067,EMP195,포상,고객만족상,고객 만족도 향상 기여,2016-11-27,1500000,TL010,고객만족상 수상: 고객 만족도 향상 기여,Positive
RD00068,EMP195,포상,공로상,프로젝트 성공적 완수,2019-02-19,1000000,TL010,공로상 수상: 프로젝트 성공적 완수,Positive
